Temperature,Date,site
26.66,2023-12-05,Emerald
26.61,2023-12-06,Emerald
26.3,2023-12-07,Emerald
26.240000000000002,2023-12-08,Emerald
26.060000000000002,2023-12-09,Emerald
26.080000000000002,2023-12-10,Emerald
26.17,2023-12-11,Emerald
25.990000000000002,2023-12-12,Emerald
25.73,2023-12-13,Emerald
25.650000000000002,2023-12-14,Emerald
25.76,2023-12-15,Emerald
25.55,2023-12-16,Emerald
25.95,2023-12-17,Emerald
25.990000000000002,2023-12-18,Emerald
25.69,2023-12-19,Emerald
25.48,2023-12-20,Emerald
25.27,2023-12-21,Emerald
25.310000000000002,2023-12-22,Emerald
25.01,2023-12-23,Emerald
25.17,2023-12-24,Emerald
25.18,2023-12-25,Emerald
25.43,2023-12-26,Emerald
25.29,2023-12-27,Emerald
24.94,2023-12-28,Emerald
25.07,2023-12-29,Emerald
24.72,2023-12-30,Emerald
24.44,2023-12-31,Emerald
24.6,2023-01-01,MacNorth
24.54,2023-01-02,MacNorth
24.650000000000002,2023-01-03,MacNorth
24.75,2023-01-04,MacNorth
24.63,2023-01-05,MacNorth
24.63,2023-01-06,MacNorth
24.26,2023-01-07,MacNorth
24.02,2023-01-08,MacNorth
24.13,2023-01-09,MacNorth
24.05,2023-01-10,MacNorth
24.060000000000002,2023-01-11,MacNorth
24,2023-01-12,MacNorth
23.95,2023-01-13,MacNorth
23.64,2023-01-14,MacNorth
23.38,2023-01-15,MacNorth
23.240000000000002,2023-01-16,MacNorth
23.330000000000002,2023-01-17,MacNorth
23.35,2023-01-18,MacNorth
23.12,2023-01-19,MacNorth
23.73,2023-01-20,MacNorth
24.29,2023-01-21,MacNorth
24.52,2023-01-22,MacNorth
24.060000000000002,2023-01-23,MacNorth
24.27,2023-01-24,MacNorth
24.84,2023-01-25,MacNorth
24.68,2023-01-26,MacNorth
24.560000000000002,2023-01-27,MacNorth
24.46,2023-01-28,MacNorth
24.18,2023-01-29,MacNorth
24.55,2023-01-30,MacNorth
24.86,2023-01-31,MacNorth
25.03,2023-02-01,MacNorth
25.21,2023-02-02,MacNorth
25.36,2023-02-03,MacNorth
25.27,2023-02-04,MacNorth
25.080000000000002,2023-02-05,MacNorth
24.43,2023-02-06,MacNorth
24.54,2023-02-07,MacNorth
24.36,2023-02-08,MacNorth
24.1,2023-02-09,MacNorth
24.3,2023-02-10,MacNorth
24.38,2023-02-11,MacNorth
24.73,2023-02-12,MacNorth
24.01,2023-02-13,MacNorth
23.39,2023-02-14,MacNorth
23.11,2023-02-15,MacNorth
23.36,2023-02-16,MacNorth
23.75,2023-02-17,MacNorth
24,2023-02-18,MacNorth
24.19,2023-02-19,MacNorth
24.55,2023-02-20,MacNorth
24.830000000000002,2023-02-21,MacNorth
24.990000000000002,2023-02-22,MacNorth
25.14,2023-02-23,MacNorth
25.36,2023-02-24,MacNorth
25.42,2023-02-25,MacNorth
25.6,2023-02-26,MacNorth
25.59,2023-02-27,MacNorth
25.560000000000002,2023-02-28,MacNorth
25.5,2023-03-01,MacNorth
25.45,2023-03-02,MacNorth
